,City Name,Country,Latitude,Longitude,Temperature (K),Humidity (%),Cloud Cover (%),Wind Speed (mph)
361,Moussoro,TD,13.64,16.49,79.14,11,63,12.33
362,Mama,MX,20.48,-89.36,88.36,48,40,11.41
363,Buraydah,SA,26.33,43.97,62.6,77,0,5.82
364,Diapaga,BF,12.07,1.79,77.85,15,30,5.91
365,Dukat,AL,40.25,19.57,57.0,75,0,3.0
366,Yumen,CN,40.29,97.04,16.65,43,0,10.25
367,Pilar,AR,-34.46,-58.91,81.61,23,0,14.99
368,Warah,PK,31.27,70.84,58.53,27,0,4.45
369,Ceamurlia de Jos,RO,44.74,28.73,40.86,93,100,23.04
370,Chamba,IN,32.56,76.12,44.11,29,0,9.93
371,Zhangye,CN,38.94,100.46,22.51,64,100,3.38
372,Stokmarknes,NO,68.56,14.91,22.26,92,75,16.11
373,Jonkoping,SE,57.78,14.16,17.85,92,0,2.24
374,Srednekolymsk,RU,67.46,153.71,-22.05,89,97,4.72
375,Churachandpur,IN,24.33,93.67,54.73,94,57,2.24
376,Palu,ID,-0.9,119.87,67.26,97,100,2.59
377,Rovaniemi,FI,66.5,25.72,8.6,92,84,5.82
378,Nizwa,OM,22.93,57.53,62.31,59,0,2.06
379,Bara,NG,10.41,10.6,77.83,24,90,8.41
380,Mehamn,NO,71.03,27.85,22.35,83,12,25.61
381,Chakia,IN,26.42,85.05,64.81,47,0,5.93
382,Tavda,RU,58.04,65.27,16.56,73,16,10.07
383,Kazanskaya,RU,45.41,40.44,44.26,86,0,8.93
384,Salym,RU,60.06,71.48,15.57,84,75,8.77
385,Gorele,TR,41.03,39.0,57.2,62,75,3.36
386,Kumluca,TR,36.37,30.29,55.85,85,44,3.83
387,Huilong,CN,31.15,106.5,43.09,76,20,2.62
388,Iskateley,RU,67.68,53.15,31.14,94,100,21.72
389,Mujiayingzi,CN,42.12,118.78,13.93,55,67,6.33
390,Nan,TH,18.78,100.78,64.04,89,58,2.48
391,Mataura,NZ,-46.19,168.86,57.0,81,100,7.0
392,Punta Arenas,CL,-53.16,-70.91,57.2,41,20,25.28
393,Castro,CL,-42.48,-73.76,57.2,71,75,9.17
394,Rawson,AR,-43.3,-65.11,53.33,61,14,11.65
395,Ushuaia,AR,-54.81,-68.31,48.2,70,75,27.51
396,Atuona,PF,-9.8,-139.03,79.09,73,67,13.78
397,Rikitea,PF,-23.12,-134.97,78.04,74,56,5.41
398,Puerto Ayora,EC,-0.74,-90.35,76.71,65,75,10.29
399,Jamestown,AU,-33.21,138.6,47.71,83,100,13.09
400,Arraial do Cabo,BR,-22.97,-42.02,77.86,65,100,14.99
401,Vaini,IN,15.34,74.49,69.82,80,100,6.53
402,Melo,UY,-32.37,-54.17,75.49,62,100,7.45
403,Cape Town,ZA,-33.93,18.42,63.64,67,20,17.22
404,Saldanha,PT,41.42,-6.55,43.99,91,0,7.54
405,Mar del Plata,AR,-46.43,-67.52,61.88,29,100,12.33
406,Lebu,ET,8.96,38.73,55.4,71,40,11.41
407,Maldonado,UY,-34.91,-54.96,71.6,53,1,14.99
408,Georgetown,GY,6.8,-58.16,84.36,83,75,6.93
409,Neuquen,AR,-38.95,-68.06,75.2,22,0,11.41
410,Avera,US,33.19,-82.53,70.9,43,90,6.33
411,Tautira,PF,-17.73,-149.15,87.37,66,20,17.22
412,Mahina,ML,13.76,-10.85,84.25,13,0,8.77
413,Cidreira,BR,-30.17,-50.22,76.01,76,65,5.7
414,Avarua,CK,-21.21,-159.78,80.6,74,100,4.7
415,Viedma,AR,-40.81,-62.99,62.42,28,0,12.91
416,Aripuana,BR,-9.17,-60.63,91.67,55,75,2.15
417,Bahia Blanca,AR,-38.72,-62.27,73.09,18,4,15.37
418,Coruripe,BR,-10.12,-36.18,79.25,78,100,15.86
419,Coquimbo,CL,-29.95,-71.34,74.48,72,85,14.99
420,Necochea,AR,-38.55,-58.74,61.56,60,0,8.99
421,Faanui,PF,-16.48,-151.75,81.88,80,5,13.2
422,Ancud,CL,-41.87,-73.83,57.2,71,75,9.17
423,Jacareacanga,BR,-6.22,-57.76,85.8,61,100,3.53
424,Caravelas,BR,-17.73,-39.27,78.73,71,93,10.02
425,Morros,BR,-2.87,-44.04,86.0,70,20,17.22
426,Vallenar,CL,-28.58,-70.76,74.91,40,0,10.87
427,Tocopilla,CL,-22.09,-70.2,72.07,22,0,10.04
